mes_ref;indice;inicio_coleta;fim_coleta;data_divulgacao
mar/20;ipca15;12/02/2020;16/03/2020;25/03/2020
abr/20;ipca15;17/03/2020;13/04/2020;28/04/2020
mai/20;ipca15;14/04/2020;14/05/2020;26/05/2020
jun/20;ipca15;15/05/2020;15/06/2020;25/06/2020
jul/20;ipca15;16/06/2020;14/07/2020;24/07/2020
ago/20;ipca15;15/07/2020;13/08/2020;25/08/2020
set/20;ipca15;14/08/2020;11/09/2020;23/09/2020
out/20;ipca15;12/09/2020;13/10/2020;23/10/2020
nov/20;ipca15;14/10/2020;12/11/2020;24/11/2020
dez/20;ipca15;13/11/2020;11/12/2020;22/12/2020
jan/20;ipca/inpc;28/12/2019;28/01/2020;07/02/2020
fev/20;ipca/inpc;29/01/2020;02/03/2020;11/03/2020
mar/20;ipca/inpc;03/03/2020;30/03/2020;09/04/2020
abr/20;ipca/inpc;31/03/2020;29/04/2020;08/05/2020
mai/20;ipca/inpc;30/04/2020;28/05/2020;10/06/2020
jun/20;ipca/inpc;29/05/2020;30/06/2020;10/07/2020
jul/20;ipca/inpc;01/07/2020;28/07/2020;07/08/2020
ago/20;ipca/inpc;29/07/2020;27/08/2020;09/09/2020
set/20;ipca/inpc;28/08/2020;28/09/2020;09/10/2020
out/20;ipca/inpc;29/09/2020;28/10/2020;06/11/2020
nov/20;ipca/inpc;29/10/2020;27/11/2020;08/12/2020
dez/20;ipca/inpc;28/11/2020;29/12/2020;12/01/2021
jan/21;ipca15;12/12/2020;14/01/2021;26/01/2021
fev/21;ipca15;15/01/2021;11/02/2021;24/02/2021
mar/21;ipca15;12/02/2021;15/03/2021;25/03/2021
abr/21;ipca15;16/03/2021;13/04/2021;27/04/2021
mai/21;ipca15;14/04/2021;13/05/2021;25/05/2021
jun/21;ipca15;14/05/2021;14/06/2021;25/06/2021
jul/21;ipca15;15/06/2021;13/07/2021;23/07/2021
ago/21;ipca15;14/07/2021;13/08/2021;25/08/2021
set/21;ipca15;14/08/2021;14/09/2021;24/09/2021
out/21;ipca15;15/09/2021;13/10/2021;26/10/2021
nov/21;ipca15;14/10/2021;12/11/2021;25/11/2021
dez/21;ipca15;13/11/2021;13/12/2021;23/12/2021
jan/21;ipca/inpc;30/12/2020;28/01/2021;09/02/2021
fev/21;ipca/inpc;29/01/2021;01/03/2021;11/03/2021
mar/21;ipca/inpc;02/03/2021;29/03/2021;09/04/2021
abr/21;ipca/inpc;30/03/2021;29/04/2021;11/05/2021
mai/21;ipca/inpc;30/04/2021;27/05/2021;09/06/2021
jun/21;ipca/inpc;28/05/2021;28/06/2021;08/07/2021
jul/21;ipca/inpc;29/06/2021;28/07/2021;10/08/2021
ago/21;ipca/inpc;29/07/2021;27/08/2021;09/09/2021
set/21;ipca/inpc;28/08/2021;28/09/2021;08/10/2021
out/21;ipca/inpc;29/09/2021;28/10/2021;10/11/2021
nov/21;ipca/inpc;29/10/2021;29/11/2021;10/12/2021
dez/21;ipca/inpc;30/11/2021;28/12/2021;11/01/2022
jan/22;ipca15;14/12/2021;13/01/2022;26/01/2022
fev/22;ipca15;14/01/2022;11/02/2022;23/02/2022
mar/22;ipca15;12/02/2022;16/03/2022;25/03/2022
abr/22;ipca15;17/03/2022;13/04/2022;27/04/2022
mai/22;ipca15;14/04/2022;13/05/2022;24/05/2022
jun/22;ipca15;14/05/2022;13/06/2022;24/06/2022
jul/22;ipca15;14/06/2022;13/07/2022;26/07/2022
ago/22;ipca15;14/07/2022;12/08/2022;24/08/2022
set/22;ipca15;13/08/2022;14/09/2022;27/09/2022
out/22;ipca15;15/09/2022;13/10/2022;25/10/2022
nov/22;ipca15;14/10/2022;14/11/2022;24/11/2022
dez/22;ipca15;15/11/2022;13/12/2022;23/12/2022
jan/22;ipca/inpc;29/12/2021;28/01/2022;09/02/2022
fev/22;ipca/inpc;29/01/2022;25/02/2022;11/03/2022
mar/22;ipca/inpc;26/02/2022;30/03/2022;08/04/2022
abr/22;ipca/inpc;31/03/2022;29/04/2022;11/05/2022
mai/22;ipca/inpc;30/04/2022;27/05/2022;09/06/2022
jun/22;ipca/inpc;28/05/2022;29/06/2022;08/07/2022
jul/22;ipca/inpc;30/06/2022;28/07/2022;09/08/2022
ago/22;ipca/inpc;29/07/2022;29/08/2022;09/09/2022
set/22;ipca/inpc;30/08/2022;28/09/2022;11/10/2022
out/22;ipca/inpc;29/09/2022;27/10/2022;10/11/2022
nov/22;ipca/inpc;28/10/2022;29/11/2022;09/12/2022
dez/22;ipca/inpc;30/11/2022;27/12/2022;10/01/2023
